year,total_tokens,hvarfor_abs,varfor_abs,hvarfor_per_million,varfor_per_million
1850,26391331,560,6,21.219088950079858,0.22734738160799847
1851,27588053,579,8,20.987345500604917,0.28998059413616467
1852,28539455,803,4,28.136486839009365,0.1401568460224626
1853,25979497,732,6,28.176065148605456,0.23095135367709388
1854,29024960,895,7,30.835529144570742,0.2411717363262516
1855,29820585,1029,4,34.506365317783,0.13413553087573565
1856,29774009,1010,4,33.922203758318204,0.134345361419082
1857,31023755,767,3,24.722990495509006,0.09670009320277317
1858,31143578,751,5,24.114120734618226,0.1605467425740228
1859,32930183,872,2,26.480265840004595,0.06073455467890962
1860,0,,,,
1861,,,,,
1862,,,,,
1863,,,,,
1864,,,,,
1865,,,,,
1866,,,,,
1867,,,,,
1868,,,,,
1869,,,,,
1870,38856614,1797,4,46.24695296404365,0.10294257754934591
1871,38818173,1729,8,44.540993724769066,0.20608903979071866
1872,38919915,2642,7,67.88298484207893,0.17985650790861182
1873,40131297,3038,11,75.70151545313874,0.2741002863675201
1874,41824767,3067,22,73.32975698346388,0.5260041257372695
1875,38938473,3569,14,91.65742066978333,0.35954157729811337
1876,44190531,3767,11,85.24450634005733,0.24892210505458734
1877,45333144,3905,18,86.14006564380357,0.3970604818408359
1878,48303388,4151,14,85.93600101094358,0.28983474202679116
1879,49326643,4437,5,89.95138793450833,0.10136509796541394
1880,50459227,4213,12,83.49315378929606,0.23781577153371772
1881,50162233,4565,23,91.00472062318279,0.4585122835341082
1882,51385335,4862,6,94.61843539601328,0.11676483183382963
1883,52525443,4893,21,93.154854495944,0.39980624247186264
1884,53947680,4932,10,91.42191100710912,0.1853647830638871
1885,53449161,5058,11,94.63198122043487,0.20580304338172867
1886,57036767,5467,13,95.85045379588222,0.2279231570050245
1887,56389650,5669,19,100.53263320485232,0.3369412649307098
1888,57618567,6057,11,105.12236446283018,0.19091068335663397
1889,51141046,5668,9,110.83074053667185,0.17598388582040345
1890,1608583,225,2,139.87465987145208,1.243330309968463
1891,988807,229,0,231.59221162471545,0.0
1892,1054648,210,,199.11856847023842,
1893,1183972,153,2,129.2260289939289,1.6892291371755412
1894,1154523,173,1,149.84543400174792,0.8661585780447857
1895,1321676,161,1,121.81502879677015,0.7566150856942245
1896,1254027,203,2,161.87849224936943,1.594861992604625
1897,1071500,205,2,191.32057862809145,1.8665422305179655
1898,1349758,148,2,109.6492852792871,1.4817470983687446
1899,2290016,252,1,110.04289926358594,0.43667817168089657
1900,18551387,2838,9,152.98047526042123,0.48513892788717095
1901,7784160,1415,8,181.7794084397032,1.0277281042527389
1902,8126106,1438,3,176.96052697318987,0.3691805152430943
1903,8295641,1472,3,177.4425870164825,0.361635707234679
1904,8239524,1615,6,196.00646833482128,0.7281974055782835
1905,8732767,1435,10,164.32363304780716,1.1451124254202592
1906,9419912,1494,31,158.60020773017837,3.290901231349083
1907,9313517,1624,30,174.3702191127154,3.2211247373038563
1908,1789236,218,6,121.83971259241375,3.353386585112305
1909,1886039,346,42,183.45325838967275,22.26889263689669
1910,2819535,138,58,48.94424080566477,20.57076787484461
1911,3406574,277,46,81.31336644969403,13.503302731718144
1912,3063937,213,58,69.51840067207648,18.929893140753222
1913,2127893,247,48,116.07726516323893,22.557525213908782
1914,2736269,177,83,64.68662255063373,30.333274981370618
1915,2343313,240,78,102.41909638191738,33.28620632412315
1916,2006419,211,116,105.16248101717537,57.814444540248076
1917,2028289,237,101,116.84725401557668,49.79566521338921
1918,381109,0,38,0.0,99.70900713444186
1919,537010,,53,,98.69462393623955
1920,2963622,2,426,0.6748498965117683,143.74302795700666
1921,2908930,0,373,0.0,128.22584249191283
1922,4859596,4,1054,0.8231136909323327,216.89045756066966
1923,5011219,0,1128,0.0,225.09493199159724
1924,5540547,,1235,,222.90217915306917
1925,6455174,4,1285,0.6196579673917388,199.0651220245961
1926,2217517,1,431,0.45095482920762275,194.3615313884854
1927,2380731,4,381,1.6801562209254217,160.03488004314642
1928,7503266,40,1004,5.331011855370715,133.80839756980495
1929,4830889,33,796,6.8310408291310365,164.77298484813045
1930,5078376,43,856,8.467273789888736,168.5578224219711
1931,4272304,24,763,5.617577775364301,178.5921601084567
1932,1651535,3,255,1.8164919302346,154.401814069941
1933,3977519,12,571,3.016956047224413,143.55682524709496
1934,2162337,1,299,0.46246260411767454,138.2763186311847
1935,2289157,3,353,1.3105261019667938,154.20523799809277
1936,2652997,7,408,2.638525411072836,153.78833824538813
1937,1160409,1,177,0.8617651190226894,152.53242606701602
1938,6101363,13,1010,2.1306714581643478,165.53678251892242
1939,2948607,11,538,3.7305751495536708,182.4590391327159
1940,2517197,4,380,1.5890691113965256,150.96156558266995
1941,3347352,13,659,3.8836668506927268,196.8720349697313
1942,1870200,9,429,4.8123195380173245,229.38723131215912
1943,1731899,1,354,0.5774008761480895,204.39991015642366
1944,2007224,2,367,0.9964009995894829,182.83958342467008
1945,1317470,2,271,1.5180611323217985,205.6972834296037
1946,683915,1,108,1.4621700065066565,157.9143607027189
1947,743905,5,139,6.72128833654835,186.85181575604412
1948,1368760,3,282,2.1917648090242263,206.02589204827726
1949,1467702,8,271,5.450697757446675,184.64238653350614
1950,930876,2,148,2.148513872954078,158.99002659860176
1951,541161,0,143,0.0,264.2466844432618
1952,1222571,2,261,1.635896810900962,213.48453382257554
1953,862243,0,330,0.0,382.72273593406965
1954,501438,,172,,343.01349319357524
1955,824200,,189,,229.31327347731133
1956,474887,,125,,263.2205135116354
1957,400270,,157,,392.2352412121818
1958,758940,,220,,289.8779877197144
1959,1691776,,377,,222.84274041007794
1960,641010,,297,,463.3313052838489
1961,858210,1,245,1.1652159727805549,285.477913331236
1962,534847,0,148,0.0,276.7146492361367
1963,956836,1,268,1.0451111789272143,280.08979595249343
1964,955771,2,170,2.0925514584560525,177.86687396876448
1965,1351123,2,285,1.480250132667418,210.9356439051071
1966,1632356,6,365,3.675668787935965,223.60318459943787
1967,2115653,8,465,3.7813384330984334,219.79029642384643
1968,1795357,11,499,6.1269151483521105,277.93915082070026
1969,1383826,0,350,0.0,252.9219714039193
1970,614496,,127,,206.67343644222257
1971,1578096,,484,,306.6987052752177
1972,1056660,,294,,278.23519391289534
1973,869299,4,209,4.60140872128002,240.42360568688105
1974,841974,0,116,0.0,137.7714751286857
1975,598124,,133,,222.36191826444013
1976,2590482,,1325,,511.4878235015723
1977,3602856,4,1737,1.1102303283839265,482.11752010072007
1978,693370,0,181,0.0,261.0438871021244
1979,1097683,,331,,301.5442527578545
1980,993090,2,265,2.0139161606702314,266.84389128880565
1981,898033,2,438,2.2270896503803312,487.7326334332925
1982,1030653,1,360,0.9702586612565044,349.2931180523416
1983,688365,0,224,0.0,325.40875843484196
1984,719426,,123,,170.96963412498297
1985,776908,,232,,298.61965638145057
1986,2258676,1,529,0.4427372496099485,234.20800504366275
1987,4657591,1,1332,0.21470326613049534,285.9847504858198
1988,1766563,0,558,0.0,315.8675914756507
1989,941135,,284,,301.76329644524964
1990,521768,,170,,325.81530488646297
1991,1027184,1,404,0.973535413324195,393.30830698297484
1992,1457288,1,722,0.6862061582885469,495.4408462843309
1993,2030001,0,759,0.0,373.8914414327875
1994,1962019,4,985,2.0387162407703494,502.03387428969853
1995,5701640,0,1637,0.0,287.1103752604514
1996,7465211,11,2134,1.4735015527357498,285.85930123073547
1997,7914013,0,2524,0.0,318.9279572828602
1998,25072380,3,6825,0.11965357895820022,272.2118921299055
1999,1744529,3,831,1.7196618686189797,476.3463376074574
2000,1185847,0,380,0.0,320.44606091679617
2001,1513769,,517,,341.5316339547183
2002,1827198,,967,,529.2256230578186
2003,2565158,2,1101,0.7796790685018233,429.2133272102537
2004,2681335,2,1322,0.7458970997656018,493.03798294506277
2005,983435,0,348,0.0,353.8617193815555
2006,58742104,,16963,,288.7707256791483
2007,1581350,,550,,347.8040914408575
2008,781619,1,340,1.279395715815506,434.99454337727207
2009,1879852,0,672,0.0,357.47495015565056
2010,1976886,,703,,355.60978225350374
2011,3979875,1,857,0.25126417286975095,215.33339614937654
2012,3705230,0,940,0.0,253.69545210418786
2013,855487,,246,,287.5555093180843
2014,126350,,4,,31.658092599920856
2015,28601,,0,,0.0
2016,20200,,,,
2017,18955,,,,
2018,90555,,10,,110.43012533819225
2019,185319,,14,,75.54541088609372
2020,0,,,,
2021,30636,0,0,0.0,0.0
2022,77967,,3,,38.477817538189235
2023,0,,,,
2024,,,,,
2025,,,,,
2026,,,,,
